"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
"2017-05-31",10128,"NY","New York","New York","New York",24,3319,0.000904704463208685,-0.0124962808687891,-0.0451668584579977,22879
"2017-05-31",10011,"NY","New York","New York","New York",25,4166,0.00409737286093034,-0.00809523809523809,-0.113994045087197,21512
"2017-05-31",28269,"NC","Charlotte","Mecklenburg","Charlotte",26,1307,0.00153256704980843,0.00461183704842429,0.0131782945736434,26177
"2017-05-31",78572,"TX","McAllen","Hidalgo","Mission",27,1059,-0.0102803738317757,-0.0194444444444444,-0.0355191256830601,20099
"2017-05-31",77573,"TX","Houston","Galveston","League City",28,1962,-0.0010183299389002,0.00204290091930541,-0.0110887096774194,26004
"2017-05-31",30349,"GA","Atlanta","Clayton","Riverdale",29,1092,0.0018348623853211,0.0120481927710843,0.0419847328244275,23999
"2017-05-31",79912,"TX","El Paso","El Paso","El Paso",30,1238,-0.00482315112540193,-0.00721732157177225,-0.0274941084053417,20964
"2017-05-31",90046,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",31,3902,-0.00281114234602607,-0.00788202390033054,0.010880829015544,11061
"2017-05-31",94565,"CA","San Francisco","Contra Costa","Pittsburg",32,2136,0.00470366886171214,0.0166587339362208,0.0658682634730539,22279
"2017-05-31",77584,"TX","Houston","Brazoria","Pearland",33,1908,-0.00104712041884817,-0.00469483568075117,-0.0445668502754131,22764
"2017-05-31",10003,"NY","New York","New York","New York",34,3933,0.00127291242362525,-0.0120572720422005,-0.088317107093185,20669
"2017-05-31",10462,"NY","New York","Bronx","New York",35,1611,-0.0265861027190332,-0.0540223135642983,-0.122070844686648,18630
"2017-05-31",10456,"NY","New York","Bronx","New York",36,1818,0.00386526780784097,-0.0070999453850355,0.00110132158590308,3302
"2017-05-31",60613,"IL","Chicago","Cook","Chicago",37,1659,-0.00120409391932571,-0.00479904019196161,-0.0616515837104072,25424
"2017-05-31",78660,"TX","Austin","Travis","Pflugerville",38,1645,0,0,-0.00784077201447527,23295
"2017-05-31",75052,"TX","Dallas-Fort Worth","Dallas","Grand Prairie",39,1539,-0.000649350649350649,0.000650195058517555,0.0455163043478261,25195
"2017-05-31",20009,"DC","Washington","District of Columbia","Washington",40,2803,0.00610193826274228,0.0115481775532299,0.0377637911884487,15939
"2017-05-31",20002,"DC","Washington","District of Columbia","Washington",41,2694,0.00447427293064877,0.016220294228593,0.0644014223627025,18635
"2017-05-31",21234,"MD","Baltimore","Baltimore","Parkville",42,1606,0.00124688279301746,0.00689655172413793,0.00752823086574655,21952
"2017-05-31",63376,"MO","St. Louis","Saint Charles","Saint Peters",43,1430,0.00421348314606742,0.0106007067137809,0.0177935943060498,27607
"2017-05-31",77036,"TX","Houston","Harris","Houston",44,1274,-0.00546448087431694,-0.0101010101010101,-0.021505376344086,10564
"2017-05-31",30044,"GA","Atlanta","Gwinnett","Lawrenceville",45,1315,0.00612088752869166,0.0115384615384615,0.034618410700236,23914
"2017-05-31",10463,"NY","New York","Bronx","New York",46,1968,-0.00101522842639594,0.00716479017400205,0.0407191961924907,7488
"2017-05-31",60629,"IL","Chicago","Cook","Chicago",47,1424,0.00564971751412429,0.0120824449182658,0.00211118930330753,20840
"2017-05-31",60625,"IL","Chicago","Cook","Chicago",48,1602,0.00438871473354232,0.00125,-0.0349397590361446,16819
"2017-05-31",11206,"NY","New York","Kings","New York",49,2611,-0.00609059763989341,-0.0165725047080979,-0.00381533765738268,8597
"2017-05-31",11230,"NY","New York","Kings","New York",50,2271,-0.00916230366492147,-0.0156046814044213,0.0234339792699414,11784
"2017-05-31",11209,"NY","New York","Kings","New York",51,2263,-0.00132391879964696,-0.000883002207505519,0.00533096401599289,15498
"2017-05-31",11201,"NY","New York","Kings","New York",52,2867,0.00986262768580486,0.00455501051156272,-0.0218355510064824,20358
"2017-05-31",78613,"TX","Austin","Williamson","Cedar Park",53,1725,0.00232423009877978,0.00290697674418605,-0.0226628895184136,23738
"2017-05-31",11212,"NY","New York","Kings","New York",54,2167,-0.0114051094890511,-0.0216704288939052,0.0197647058823529,5959
"2017-05-31",37042,"TN","Clarksville","Montgomery","Clarksville",55,930,0.00323624595469256,0.00540540540540541,-0.0137857900318134,26334
"2017-05-31",75287,"TX","Dallas-Fort Worth","Dallas","Dallas",56,1985,0.00404653515427415,0.00659229208924949,-0.00700350175087544,6766
"2017-05-31",10024,"NY","New York","New York","New York",57,4002,-0.00249252243270189,-0.0130702836004932,-0.101683501683502,19284
"2017-05-31",77479,"TX","Houston","Fort Bend","Sugar Land",58,2335,-0.0055366269165247,-0.0160134850400337,-0.0734126984126984,26606
"2017-05-31",77429,"TX","Houston","Harris","Cypress",59,1731,-0.00517241379310345,-0.00802292263610315,-0.0556464811783961,25894
"2017-05-31",85032,"AZ","Phoenix","Maricopa","Phoenix",60,1327,0.00454201362604088,0.0106626047220107,0.0247104247104247,21569
"2017-05-31",78130,"TX","San Antonio","Comal","New Braunfels",61,1460,0.00412654745529574,0.0103806228373702,0.0131852879944483,21793
"2017-05-31",11214,"NY","New York","Kings","New York",62,2217,0,0,0.0155748969308291,12009
"2017-05-31",77077,"TX","Houston","Harris","Houston",63,2024,-0.00491642084562439,0.00696517412935323,-0.0352716873212583,12495
"2017-05-31",78521,"TX","Brownsville","Cameron","Brownsville",64,875,0.0115606936416185,0.0150812064965197,-0.015748031496063,21381
"2017-05-31",30043,"GA","Atlanta","Gwinnett","Lawrenceville",65,1458,0.00137362637362637,0.00482425913163336,0.0282087447108604,24460
"2017-05-31",30096,"GA","Atlanta","Gwinnett","Duluth",66,1398,-0.000714796283059328,0.000715819613457409,0.0309734513274336,15440
"2017-05-31",23464,"VA","Virginia Beach","Virginia Beach City","Virginia Beach",67,1547,-0.000645994832041344,0.00389357560025957,0.005851755526658,24717
"2017-05-31",94501,"CA","San Francisco","Alameda","Alameda",68,3200,0.00882723833543506,0.0078740157480315,-0.0424895272292041,15142
"2017-05-31",7030,"NJ","New York","Hudson","Hoboken",69,2834,0.00212164073550212,-0.00351617440225035,-0.0297843204382061,22302
"2017-05-31",60619,"IL","Chicago","Cook","Chicago",70,1343,0.00223880597014925,0.00825825825825826,0.00599250936329588,16391
"2017-05-31",73099,"OK","Oklahoma City","Canadian","Yukon",71,1213,0.00165152766308836,-0.00655200655200655,-0.045633359559402,25756
"2017-05-31",11229,"NY","New York","Kings","New York",72,2273,-0.0113092648977816,-0.0134548611111111,0.0455381784728611,15464
"2017-05-31",94110,"CA","San Francisco","San Francisco","San Francisco",73,4577,-0.00478364861926506,-0.0159105568694904,-0.052773178807947,13459
"2017-05-31",28277,"NC","Charlotte","Mecklenburg","Charlotte",74,1880,0.00213219616204691,0.0151187904967603,0.0415512465373961,23885
"2017-05-31",75243,"TX","Dallas-Fort Worth","Dallas","Dallas",75,1455,0.00206611570247934,0.00831600831600832,0.0513005780346821,11294
"2017-05-31",90034,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",76,3474,-0.000862812769628991,-0.00401376146788991,0.0131233595800525,8210
"2017-05-31",33160,"FL","Miami-Fort Lauderdale","Miami-Dade","Sunny Isles Beach",77,2197,-0.000454959053685168,-0.0108059432687978,-0.0784395973154362,47681
"2017-05-31",33139,"FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",78,2105,-0.00613786591123702,-0.0163551401869159,-0.100042753313382,33098
"2017-05-31",44107,"OH","Cleveland","Cuyahoga","Lakewood",79,1211,-0.00247116968698517,-0.00493015612161052,0.00832639467110741,15230
"2017-05-31",77379,"TX","Houston","Harris","Tomball",80,1782,-0.00446927374301676,-0.00724233983286908,-0.0660377358490566,25036
"2017-05-31",11377,"NY","New York","Queens","New York",81,2250,0.00267379679144385,0.00761307657859382,-0.0405117270788913,11766
"2017-05-31",90044,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",82,2293,0.0132567388422448,0.0489478499542543,0.132345679012346,13556
"2017-05-31",33411,"FL","Miami-Fort Lauderdale","Palm Beach","Royal Palm Beach",83,1912,0,-0.000522739153162572,0.0235546038543897,30491
"2017-05-31",11234,"NY","New York","Kings","New York",84,2275,-0.0130151843817787,-0.0177029360967185,0.0581395348837209,21215
"2017-05-31",90650,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Norwalk",85,2311,0.00784997819450502,0.0266548200799645,0.064486411791801,22058
"2017-05-31",90805,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",86,2228,0.0104308390022676,0.030527289546716,0.0852411105698977,15492
"2017-05-31",11207,"NY","New York","Kings","New York",87,2251,-0.00398230088495575,-0.00749559082892416,-0.00354138999557326,12430
"2017-05-31",75067,"TX","Dallas-Fort Worth","Denton","Lewisville",88,1631,0.00369230769230769,0.0124146492861577,0.00616903146206046,12128
"2017-05-31",60617,"IL","Chicago","Cook","Chicago",89,1308,0.000765110941086458,0.00306748466257669,-0.0060790273556231,20708
"2017-05-31",10019,"NY","New York","New York","New York",90,3784,-0.00263574064312072,-0.0112359550561798,-0.051391326146904,20659
"2017-05-31",44035,"OH","Cleveland","Lorain","Elyria",91,832,0.00848484848484849,0.00848484848484849,-0.0071599045346062,21011
"2017-05-31",23462,"VA","Virginia Beach","Virginia Beach City","Virginia Beach",92,1290,0,0,-0.00921658986175115,21944
"2017-05-31",19143,"PA","Philadelphia","Philadelphia","Philadelphia",93,1074,0.00280112044817927,0.00186567164179104,0.0686567164179104,23038
"2017-05-31",48197,"MI","Ann Arbor","Washtenaw","Ypsilanti",94,1575,-0.00126823081800888,0.01875808538163,0.099092812281926,16821
"2017-05-31",78704,"TX","Austin","Travis","Austin",95,2203,0.00136363636363636,0.00639561443581544,0.0275186567164179,14057
"2017-05-31",92683,"CA","Los Angeles-Long Beach-Anaheim","Orange","Westminster",96,2762,0.0065597667638484,0.0154411764705882,0.0426576066440166,18098
"2017-05-31",8701,"NJ","New York","Ocean","Lakewood Township",97,1903,0.00422163588390501,0.0198285101822079,0.0513812154696133,21467
"2017-05-31",85710,"AZ","Tucson","Pima","Tucson",98,1088,0.00740740740740741,0.0206378986866792,0.0225563909774436,17105
"2017-05-31",11355,"NY","New York","Queens","New York",99,2239,-0.000892458723784025,0,-0.0179824561403509,13892
"2017-05-31",78666,"TX","Austin","Hays","San Marcos",100,1436,0,-0.00069589422407794,0.00913562895291637,11752
"2017-05-31",66062,"KS","Kansas City","Johnson","Olathe",101,1730,-0.00115473441108545,-0.0125570776255708,0.00581395348837209,23670
"2017-05-31",78745,"TX","Austin","Travis","Austin",102,1654,0.000604960677555959,0.00121065375302663,-0.00120772946859903,17310
"2017-05-31",95630,"CA","Sacramento","Sacramento","Folsom",103,2225,0.0049683830171635,0.0113636363636364,0.0635755258126195,22060
"2017-05-31",91910,"CA","San Diego","San Diego","Chula Vista",104,2339,0.00645438898450947,0.0134315424610052,0.0290365156181258,16348
"2017-05-31",90026,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",105,2948,0.000339328130302002,0.00442930153321976,0.0727802037845706,9662
"2017-05-31",10314,"NY","New York","Richmond","New York",106,2080,-0.0123456790123457,-0.0298507462686567,0.00677637947725073,24931
"2017-05-31",87111,"NM","Albuquerque","Bernalillo","Albuquerque",107,1318,-0.00302571860816944,-0.0164179104477612,-0.0193452380952381,18848
"2017-05-31",94558,"CA","Napa","Napa","Napa",108,2589,0.00387747188832881,-0.00423076923076923,-0.0163373860182371,16674
"2017-05-31",11215,"NY","New York","Kings","New York",109,2659,-0.00037593984962406,-0.0082058933233868,-0.0267203513909224,19588
"2017-05-31",98052,"WA","Seattle","King","Redmond",110,2610,0.00694444444444444,0.0187353629976581,0.036125446605796,19679
"2017-05-31",30024,"GA","Atlanta","Gwinnett","Suwanee",111,1834,0.00328227571115974,-0.000544959128065395,-0.0150375939849624,22770
"2017-05-31",32210,"FL","Jacksonville","Duval","Jacksonville",112,1015,0.000986193293885602,0.00694444444444444,0.016016016016016,19993
"2017-05-31",6010,"CT","Hartford","Hartford","Bristol",113,1474,-0.0120643431635389,-0.018641810918775,-0.0205980066445183,19875
"2017-05-31",11221,"NY","New York","Kings","New York",114,2457,-0.00243605359317905,-0.0068714632174616,-0.0144404332129964,13736
"2017-05-31",33025,"FL","Miami-Fort Lauderdale","Broward","Miramar",115,1636,-0.000610873549175321,-0.00183038438071995,-0.00547112462006079,25052
"2017-05-31",60610,"IL","Chicago","Cook","Chicago",116,1820,0.00608070757324489,0.00496963003865268,-0.0761421319796954,28342
"2017-05-31",30281,"GA","Atlanta","Henry","Stockbridge",117,1158,0.00346620450606586,0.0025974025974026,0.0104712041884817,20746
"2017-05-31",89108,"NV","Las Vegas","Clark","Las Vegas",118,1109,0.00361990950226244,0.00818181818181818,0.0364485981308411,19609
"2017-05-31",78240,"TX","San Antonio","Bexar","San Antonio",119,1336,0.000749063670411985,0.00149925037481259,0.0144267274107821,12119
"2017-05-31",85225,"AZ","Phoenix","Maricopa","Chandler",120,1307,0.00153256704980843,0.00538461538461538,0.0187061574434918,20097
"2017-05-31",77433,"TX","Houston","Harris","Cypress",121,1728,-0.00689655172413793,-0.0108757870635375,-0.0842607313195549,24955
"2017-05-31",2169,"MA","Boston","Norfolk","Quincy",122,2258,-0.00132684652808492,0.00310972900932919,0.0217194570135747,14937
"2017-05-31",33009,"FL","Miami-Fort Lauderdale","Broward","Hallandale",123,1605,0.00187265917602996,-0.00495970241785493,-0.0514184397163121,35649
"2017-05-31",15601,"PA","Pittsburgh","Westmoreland","Greensburg",124,925,-0.0190880169671262,-0.0503080082135524,-0.186455584872471,19320
"2017-05-31",93722,"CA","Fresno","Fresno","Fresno",125,1299,0,0.00231481481481481,0.0325914149443561,20328
"2017-05-31",48180,"MI","Detroit","Wayne","Taylor",126,952,0.00316122233930453,0.0116896918172157,0.0280777537796976,21805
"2017-05-31",78245,"TX","San Antonio","Bexar","San Antonio",127,1265,0.00396825396825397,0.00636435958631663,0.0103833865814696,20552
"2017-05-31",17603,"PA","Lancaster","Lancaster","Lancaster",128,1140,0.00529100529100529,0.0279531109107304,0.0279531109107304,19093
"2017-05-31",95608,"CA","Sacramento","Sacramento","Carmichael",129,1719,0.0070298769771529,0.00585137507314219,0.0374170187085094,18370
"2017-05-31",85308,"AZ","Phoenix","Maricopa","Glendale",130,1421,0.00211565585331453,0.0070871722182849,0.0208333333333333,21852
"2017-05-31",94533,"CA","Vallejo","Solano","Fairfield",131,1875,0.0118726389638424,0.0279605263157895,0.0641316685584563,18092
"2017-05-31",60611,"IL","Chicago","Cook","Chicago",132,1886,0.00479488545551412,-0.00736842105263158,-0.111215834118756,30332
"2017-05-31",43055,"OH","Columbus","Licking","Newark",133,820,-0.00726392251815981,-0.0238095238095238,-0.0607101947308133,20737
"2017-05-31",14850,"NY","Ithaca","Tompkins","Ithaca",134,1651,0.0153751537515375,0.0254658385093168,-0.0640589569160998,12458
"2017-05-31",87114,"NM","Albuquerque","Bernalillo","Albuquerque",135,1246,-0.000801924619085806,-0.0016025641025641,-0.024275646045419,20745
"2017-05-31",33024,"FL","Miami-Fort Lauderdale","Broward","Pembroke Pines",136,1747,0.00172018348623853,0.000572737686139748,0.00114613180515759,25540
"2017-05-31",80013,"CO","Denver","Arapahoe","Aurora",137,1813,0.00332042058660764,0.000551876379690949,-0.0130647795318454,23726
"2017-05-31",20906,"MD","Washington","Montgomery","Silver Spring",138,1929,0,-0.00822622107969152,-0.0291897332662305,22463
"2017-05-31",37075,"TN","Nashville","Sumner","Hendersonville",139,1698,-0.00235017626321974,0.000589275191514437,0.0167664670658683,22651
"2017-05-31",11211,"NY","New York","Kings","New York",140,2967,0.00270361608651571,0.0044008124576845,0.021342512908778,12520
"2017-05-31",90066,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",141,4132,-0.00409737286093034,-0.00696947849074742,0.00657734470158344,13004
"2017-05-31",11373,"NY","New York","Queens","New York",142,2209,0.0013599274705349,0.00226860254083485,-0.034527972027972,12665
"2017-05-31",11385,"NY","New York","Queens","New York",143,2200,0.00182149362477231,-0.0103463787674314,-0.0476190476190476,14235
"2017-05-31",85281,"AZ","Phoenix","Maricopa","Tempe",144,1304,0.00153609831029186,0.00230591852421214,0.0108527131782946,13165
"2017-05-31",44060,"OH","Cleveland","Lake","Mentor",145,1336,0.00149925037481259,0.00830188679245283,0.0284834488067744,24789
"2017-05-31",43081,"OH","Columbus","Franklin","Westerville",146,1485,0.00746268656716418,0.0171232876712329,0.0291060291060291,20728
"2017-05-31",78577,"TX","McAllen","Hidalgo","Pharr",147,939,0.00427807486631016,0.0217627856365615,0.00213447171824973,16099
"2017-05-31",28027,"NC","Charlotte","Cabarrus","Concord",148,1358,0.00369549150036955,0.00667160859896219,0.0157068062827225,21475
"2017-05-31",85364,"AZ","Yuma","Yuma","Yuma",149,857,0,-0.00116550116550117,-0.0115340253748558,17689
"2017-05-31",8753,"NJ","New York","Ocean","Toms River",150,1922,0.00523012552301255,0.0212539851222104,0.0583700440528634,24423
"2017-05-31",92677,"CA","Los Angeles-Long Beach-Anaheim","Orange","Laguna Niguel",151,3360,0.00478468899521531,0.0141865378810746,0.0412147505422994,24318
"2017-05-31",91709,"CA","Riverside","San Bernardino","Chino Hills",152,3013,0.00567423230974633,0.016531713900135,0.0881184543156374,21205
"2017-05-31",65807,"MO","Springfield","Greene","Springfield",153,829,-0.00599520383693046,-0.00240673886883273,0.01468788249694,16903
"2017-05-31",60620,"IL","Chicago","Cook","Chicago",154,1358,0.00443786982248521,0.0119225037257824,0.018754688672168,16391
"2017-05-31",75034,"TX","Dallas-Fort Worth","Collin","Frisco",155,2520,-0.00237529691211401,-0.00277008310249307,-0.0289017341040462,16997
"2017-05-31",10028,"NY","New York","New York","New York",156,3392,0.00236406619385343,-0.0110787172011662,-0.0632421982877658,17986
"2017-05-31",60634,"IL","Chicago","Cook","Chicago",157,1790,0.00561797752808989,0.0135900339750849,0.0164679159568427,20380
"2017-05-31",95823,"CA","Sacramento","Sacramento","Sacramento",158,1437,0.00139372822299652,0.00983836964160225,0.0420594633792603,16523
"2017-05-31",92804,"CA","Los Angeles-Long Beach-Anaheim","Orange","Anaheim",159,2556,0.00590318772136954,0.0134813639968279,0.0265060240963855,14537
"2017-05-31",27410,"NC","","Guilford","Greensboro",160,1351,0.00670640834575261,0.00520833333333333,-0.00515463917525773,19349
"2017-05-31",6902,"CT","Stamford","Fairfield","Stamford",161,2266,0.0030987162461266,0.0030987162461266,-0.0215889464594128,15541
"2017-05-31",43123,"OH","Columbus","Franklin","Grove City",162,1334,0.00451807228915663,0.015220700152207,0.0245775729646697,21877
"2017-05-31",20011,"DC","Washington","District of Columbia","Washington",163,2619,0.0088597842835131,0.0202571094663031,0.023046875,17062
"2017-05-31",60016,"IL","Chicago","Cook","Des Plaines",164,1640,0.00428658909981629,0.0110974106041924,0.00675260896255371,22451
"2017-05-31",92109,"CA","San Diego","San Diego","San Diego",165,2939,0.0124009645194626,0.0247559274755927,0.0247559274755927,15185
"2017-05-31",45011,"OH","Cincinnati","Butler","Hamilton",166,1446,-0.00618556701030928,-0.00618556701030928,0.0126050420168067,22399
"2017-05-31",60628,"IL","Chicago","Cook","Chicago",167,1303,0.00153727901614143,0.00385208012326656,-0.00306044376434583,20599
"2017-05-31",90019,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",168,3247,0.00123342584027135,0.00154225786551511,0.0719709475074282,9749
"2017-05-31",91911,"CA","San Diego","San Diego","Chula Vista",169,2246,0.0053715308863026,0.016289592760181,0.0335941095260009,15285
"2017-05-31",44256,"OH","Cleveland","Medina","Medina",170,1534,0,-0.00904392764857881,-0.0525015441630636,21336
"2017-05-31",76028,"TX","Dallas-Fort Worth","Johnson","Burleson",171,1516,0.00132100396301189,0.00132100396301189,0.0319945541184479,21510
"2017-05-31",2148,"MA","Boston","Middlesex","Malden",172,2270,-0.000440334654337296,-0.000440334654337296,0.0470479704797048,13808
"2017-05-31",75228,"TX","Dallas-Fort Worth","Dallas","Dallas",173,1350,0.00297176820208024,0.0119940029985008,0.0424710424710425,15266
"2017-05-31",89121,"NV","Las Vegas","Clark","Las Vegas",174,1148,0.00262008733624454,0.00437445319335083,0.0141342756183746,17072
"2017-05-31",33647,"FL","Tampa","Hillsborough","Tampa",175,1711,-0.0034944670937682,-0.00983796296296296,-0.0189220183486239,21093
"2017-05-31",89117,"NV","Las Vegas","Clark","Las Vegas",176,1394,-0.000716845878136201,-0.000716845878136201,0.00649819494584838,18754
"2017-05-31",47906,"IN","Lafayette-West Lafayette","Tippecanoe","West Lafayette",177,1314,-0.00755287009063444,-0.0215934475055845,0.0107692307692308,12810
"2017-05-31",92345,"CA","Riverside","San Bernardino","Hesperia",178,1282,0.00549019607843137,0.0198886237072395,0.046530612244898,21581
"2017-05-31",43130,"OH","Columbus","Fairfield","Lancaster",179,1018,-0.005859375,-0.0468164794007491,-0.0943060498220641,19283
"2017-05-31",11236,"NY","New York","Kings","New York",180,2168,-0.00596056854653829,-0.0149931849159473,0.0378171373863092,15967
"2017-05-31",28314,"NC","Fayetteville","Cumberland","Fayetteville",181,804,-0.00495049504950495,-0.0122850122850123,-0.0405727923627685,10273
"2017-05-31",40475,"KY","Richmond","Madison","Richmond",182,1103,-0.0027124773960217,0.00546946216955333,0.023191094619666,16410
"2017-05-31",94536,"CA","San Francisco","Alameda","Fremont",183,3074,0.00260926288323549,0.00326370757180157,-0.00421120829284095,19008
"2017-05-31",92503,"CA","Riverside","Riverside","Riverside",184,1831,0.00549148819330038,0.0183537263626251,0.0450913242009132,19527
"2017-05-31",65203,"MO","Columbia","Boone","Columbia",185,1287,-0.00386996904024768,-0.0092378752886836,-0.0416976917349218,19651
"2017-05-31",19111,"PA","Philadelphia","Philadelphia","Philadelphia",186,1221,0.00328677074774034,0.000819672131147541,-0.0332541567695962,17154
"2017-05-31",92126,"CA","San Diego","San Diego","San Diego",187,2441,0.0057684384013185,0.00784475639966969,0.0251994960100798,19523
"2017-05-31",77450,"TX","Houston","Fort Bend","Cinco Ranch",188,1847,-0.00162162162162162,0.000541711809317443,-0.0571720265441552,20328
"2017-05-31",27406,"NC","","Guilford","Greensboro",189,890,0.00112485939257593,0.00678733031674208,0.0171428571428571,21855
"2017-05-31",91730,"CA","Riverside","San Bernardino","Rancho Cucamonga",190,2024,0.00746640119462419,0.0191339375629406,0.0454545454545455,15890
"2017-05-31",90201,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Bell",191,2296,0.00569426193604906,0.0218068535825545,0.100671140939597,8169
"2017-05-31",97229,"OR","Portland","Washington","Cedar Mill",192,2345,-0.00339991500212495,-0.0109658371994939,-0.00887573964497041,20715
"2017-05-31",29732,"SC","Charlotte","York","Rock Hill",193,1267,0.0168539325842697,0.042798353909465,-0.0155400155400155,19615
"2017-05-31",27610,"NC","Raleigh","Wake","Raleigh",194,1236,0.0048780487804878,0.0106295993458708,0.0231788079470199,21172
"2017-05-31",76244,"TX","Dallas-Fort Worth","Tarrant","Fort Worth",195,1747,0.000572737686139748,0.00172018348623853,0.00807847663012118,20158
"2017-05-31",98103,"WA","Seattle","King","Seattle",196,2634,0.0115207373271889,0.0253016738030362,0.0253016738030362,17641
"2017-05-31",10457,"NY","New York","Bronx","New York",197,1740,-0.00286532951289398,-0.0186125211505922,-0.0392048591938156,3309
"2017-05-31",21740,"MD","Hagerstown","Washington","Hagerstown",198,1100,-0.00271985494106981,-0.000908265213442325,-0.014336917562724,19870
"2017-05-31",77095,"TX","Houston","Harris","Houston",199,1677,-0.00237953599048186,-0.00119118522930316,-0.0350978135788262,20394
"2017-05-31",32822,"FL","Orlando","Orange","Orlando",200,1194,0.00251889168765743,0.0144435004248088,0.0446194225721785,16095
"2017-05-31",22191,"VA","Washington","Prince William","Woodbridge",201,1801,-0.000554938956714761,0,-0.00989554700384827,17422
"2017-05-31",90280,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","South Gate",202,2255,0.00894854586129754,0.0282717738258094,0.0978578383641675,14310
"2017-05-31",60626,"IL","Chicago","Cook","Chicago",203,1449,0.00625,0.00764951321279555,-0.0517015706806283,15085
"2017-05-31",92592,"CA","Riverside","Riverside","Temecula",204,2229,0.00179775280898876,0.00814111261872456,0.0539007092198582,23429
"2017-05-31",87120,"NM","Albuquerque","Bernalillo","Albuquerque",205,1206,-0.00165562913907285,-0.00165562913907285,-0.0130932896890344,21586
